
System accessed at: 2021-05-27 18:20:46, , , thread_name
admin,Connected to the admin system,2021-05-27 18:20:50,main
admin,Banker administrative side option selected: 3,2021-05-27 18:21:07,main
admin,Banker administrative side option selected: 4,2021-05-27 18:21:35,main
admin,Banker administrative side option selected: 0,2021-05-27 18:21:38,main
admin,Banker closed the system.,2021-05-27 18:21:38,main

System accessed at: 2021-05-27 18:22:57, , , thread_name
admin,Connected to the admin system,2021-05-27 18:22:59,main
admin,Banker administrative side option selected: 3,2021-05-27 18:23:01,main
admin,Banker administrative side option selected: 4,2021-05-27 18:23:27,main
admin,Banker administrative side option selected: 3,2021-05-27 18:23:28,main
admin,Banker administrative side option selected: 4,2021-05-27 18:23:50,main
admin,Banker administrative side option selected: 0,2021-05-27 18:23:52,main

System accessed at: 2021-05-27 18:24:40, , , thread_name
admin,Connected to the admin system,2021-05-27 18:24:43,main
admin,Banker administrative side option selected: 3,2021-05-27 18:24:46,main
admin,Banker administrative side option selected: 4,2021-05-27 18:25:02,main
admin,Banker administrative side option selected: 0,2021-05-27 18:25:03,main
admin,Banker closed the system.,2021-05-27 18:25:03,main

System accessed at: 2021-05-27 18:38:22, , , thread_name

System accessed at: 2021-05-27 18:38:33, , , thread_name
admin,Connected to the admin system,2021-05-27 18:38:35,main
admin,Banker administrative side option selected: 1,2021-05-27 18:38:37,main
admin,Banker customer side option selected: 1,2021-05-27 18:38:53,main
admin,Banker customer side option selected: 3,2021-05-27 18:38:59,main
admin,Banker customer side option selected: 4,2021-05-27 18:39:10,main
admin,Banker customer side option selected: 4,2021-05-27 18:39:26,main
admin,Banker customer side option selected: 3,2021-05-27 18:39:34,main
admin,Banker closed the system.,2021-05-27 18:39:34,main

System accessed at: 2021-05-27 19:12:22, , , thread_name
admin,Connected to the admin system,2021-05-27 19:12:24,main
admin,Banker administrative side option selected: 1,2021-05-27 19:12:25,main
admin,Banker customer side option selected: 1,2021-05-27 19:12:27,main
admin,Banker customer side option selected: 12,2021-05-27 19:12:29,main
admin,Banker customer side option selected: 13,2021-05-27 19:12:31,main
admin,Banker customer side option selected: 13,2021-05-27 19:12:33,main

System accessed at: 2021-05-27 19:13:02, , , thread_name
admin,Connected to the admin system,2021-05-27 19:13:05,main
admin,Banker administrative side option selected: 1,2021-05-27 19:13:07,main
admin,Banker customer side option selected: 1,2021-05-27 19:13:09,main
admin,Banker customer side option selected: 3,2021-05-27 19:13:15,main

System accessed at: 2021-05-27 19:14:14, , , thread_name
admin,Connected to the admin system,2021-05-27 19:14:17,main
admin,Banker administrative side option selected: 1,2021-05-27 19:14:18,main
admin,Banker customer side option selected: 1,2021-05-27 19:14:19,main
admin,Banker customer side option selected: 3,2021-05-27 19:14:21,main

System accessed at: 2021-05-27 19:15:10, , , thread_name
admin,Connected to the admin system,2021-05-27 19:15:13,main
admin,Banker administrative side option selected: 1,2021-05-27 19:15:14,main
admin,Banker customer side option selected: 1,2021-05-27 19:15:15,main
admin,Banker customer side option selected: 3,2021-05-27 19:15:17,main

System accessed at: 2021-05-27 19:15:57, , , thread_name
admin,Connected to the admin system,2021-05-27 19:16:00,main
admin,Banker administrative side option selected: 1,2021-05-27 19:16:01,main
admin,Banker customer side option selected: 1,2021-05-27 19:16:02,main

System accessed at: 2021-05-27 19:16:57, , , thread_name
admin,Connected to the admin system,2021-05-27 19:17:00,main
admin,Banker administrative side option selected: 1,2021-05-27 19:17:01,main
admin,Banker customer side option selected: 1,2021-05-27 19:17:02,main

System accessed at: 2021-05-27 19:19:32, , , thread_name
admin,Connected to the admin system,2021-05-27 19:19:35,main
admin,Banker administrative side option selected: 1,2021-05-27 19:19:36,main
admin,Banker customer side option selected: 1,2021-05-27 19:19:36,main

System accessed at: 2021-05-27 19:20:05, , , thread_name
admin,Connected to the admin system,2021-05-27 19:20:07,main
admin,Banker administrative side option selected: 1,2021-05-27 19:20:08,main
admin,Banker customer side option selected: 1,2021-05-27 19:20:09,main

System accessed at: 2021-05-27 19:23:11, , , thread_name
admin,Connected to the admin system,2021-05-27 19:23:14,main
admin,Banker administrative side option selected: 1,2021-05-27 19:23:15,main
admin,Banker customer side option selected: 1,2021-05-27 19:23:16,main

System accessed at: 2021-05-27 19:24:41, , , thread_name
admin,Connected to the admin system,2021-05-27 19:24:44,main
admin,Banker administrative side option selected: 1,2021-05-27 19:24:45,main
admin,Banker customer side option selected: 1,2021-05-27 19:24:45,main

System accessed at: 2021-05-27 19:26:08, , , thread_name
admin,Connected to the admin system,2021-05-27 19:26:10,main
admin,Banker administrative side option selected: 1,2021-05-27 19:26:11,main
admin,Banker customer side option selected: 1,2021-05-27 19:26:13,main

System accessed at: 2021-05-27 19:27:07, , , thread_name
admin,Connected to the admin system,2021-05-27 19:27:11,main
admin,Banker administrative side option selected: 1,2021-05-27 19:27:12,main
admin,Banker customer side option selected: 1,2021-05-27 19:27:15,main

System accessed at: 2021-05-27 19:30:08, , , thread_name
admin,Connected to the admin system,2021-05-27 19:30:11,main
admin,Banker administrative side option selected: 1,2021-05-27 19:30:13,main
admin,Banker customer side option selected: 1,2021-05-27 19:30:15,main

System accessed at: 2021-05-27 19:31:19, , , thread_name
admin,Connected to the admin system,2021-05-27 19:31:22,main
admin,Banker administrative side option selected: 1,2021-05-27 19:31:23,main
admin,Banker customer side option selected: 1,2021-05-27 19:31:24,main

System accessed at: 2021-05-27 19:33:34, , , thread_name
admin,Connected to the admin system,2021-05-27 19:33:37,main
admin,Banker administrative side option selected: 1,2021-05-27 19:33:37,main
admin,Banker customer side option selected: 1,2021-05-27 19:33:39,main

System accessed at: 2021-05-27 19:34:11, , , thread_name
admin,Connected to the admin system,2021-05-27 19:34:14,main
admin,Banker administrative side option selected: 1,2021-05-27 19:34:14,main
admin,Banker customer side option selected: 1,2021-05-27 19:34:15,main

System accessed at: 2021-05-27 19:36:33, , , thread_name
admin,Connected to the admin system,2021-05-27 19:36:35,main
admin,Banker administrative side option selected: 1,2021-05-27 19:36:36,main
admin,Banker customer side option selected: 1,2021-05-27 19:36:36,main

System accessed at: 2021-05-27 19:37:15, , , thread_name
admin,Connected to the admin system,2021-05-27 19:37:18,main
admin,Banker administrative side option selected: 1,2021-05-27 19:37:18,main
admin,Banker customer side option selected: 1,2021-05-27 19:37:20,main

System accessed at: 2021-05-27 19:38:46, , , thread_name
admin,Connected to the admin system,2021-05-27 19:38:49,main
